driverId,constructorId,grid,positionOrder,points,year,round,circuitId,punti_campionato_pilota,vittorie_pilota,punti_campionato_team,vittorie_team,incidenti_pilota,incidenti_circuito,vincitori_dalla_pole,vincitori_NON_dalla_pole
642,51,1,1,9.0,1950,1,9,9.0,1.0,0.0,0.0,0,0,1,0
786,51,2,2,6.0,1950,1,9,6.0,0.0,0.0,0.0,0,0,0,0
686,51,4,3,4.0,1950,1,9,4.0,0.0,0.0,0.0,0,0,0,0
704,154,6,4,3.0,1950,1,9,3.0,0.0,0.0,0.0,0,0,0,0
627,154,9,5,2.0,1950,1,9,2.0,0.0,0.0,0.0,0,0,0,0
619,151,13,6,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
787,151,15,7,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
741,154,14,8,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
784,105,16,9,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
778,105,20,10,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
788,105,20,10,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
660,154,21,11,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
579,51,3,12,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
776,126,19,13,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
669,105,5,14,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
747,105,18,15,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
785,126,17,16,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
640,105,8,17,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
589,105,11,18,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
789,154,7,19,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
661,151,10,20,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
666,151,10,20,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
790,151,12,21,0.0,1950,1,9,0.0,0.0,0.0,0.0,0,0,0,0
579,51,1,1,9.0,1950,2,6,9.0,1.0,0.0,0.0,0,0,1,0
647,6,7,2,6.0,1950,2,6,6.0,0.0,0.0,0.0,0,0,0,0
589,105,8,3,4.0,1950,2,6,4.0,0.0,0.0,0.0,0,0,0,0
793,6,9,4,3.0,1950,2,6,3.0,0.0,0.0,0.0,0,0,0,0
669,105,15,5,2.0,1950,2,6,2.0,0.0,0.0,0.0,0,0,0,0
619,151,16,6,0.0,1950,2,6,0.0,0.0,0.0,0.0,0,0,0,0
